
2025/04/05 (19:10:42) | ===> btop++ v.1.4.0
2025/04/05 (19:10:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/05 (19:11:36) | ===> btop++ v.1.4.0
2025/04/05 (19:11:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/05 (21:25:15) | ===> btop++ v.1.4.0
2025/04/05 (21:25:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/05 (21:25:22) | ===> btop++ v.1.4.0
2025/04/05 (21:25:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/05 (21:25:34) | ===> btop++ v.1.4.0
2025/04/05 (21:25:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/06 (09:13:56) | ===> btop++ v.1.4.0
2025/04/06 (09:13:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/06 (14:55:48) | ===> btop++ v.1.4.0
2025/04/06 (14:55:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/06 (17:04:07) | ===> btop++ v.1.4.0
2025/04/06 (17:04:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/06 (18:32:34) | ===> btop++ v.1.4.0
2025/04/06 (18:32:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/08 (13:01:30) | ===> btop++ v.1.4.0
2025/04/08 (13:01:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/08 (13:47:04) | ===> btop++ v.1.4.0
2025/04/08 (13:47:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/08 (15:11:24) | ===> btop++ v.1.4.0
2025/04/08 (15:11:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
